new_confirmed,population,cumulative_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_moderna
11678,331002647,167978845,128444425
60869,331002647,48605159,46535646
27426,331002647,138657097,111933191
44855,331002647,132721153,108142826
39024,331002647,62529418,59518840
61884,331002647,116754631,97353734
74707,331002647,78717917,71338865
64869,331002647,80845236,72997571
30732,331002647,145007116,116066454
69552,331002647,76891912,69930956
62561,331002647,75386890,68858013
17729,331002647,161890897,125990795
56630,331002647,118628496,98778973
63523,331002647,113104771,94684047
58402,331002647,57876875,55811286
22401,331002647,157023465,122947136
37587,331002647,142692755,114354242
65060,331002647,114844028,95913701
59748,331002647,125540172,103474188
53170,331002647,109122092,92181455
38091,331002647,137216849,111094349
32382,331002647,131030537,107155797
47266,331002647,72981111,67249447
34676,331002647,140760689,112990115
29792,331002647,147961277,117620781
75086,331002647,105070417,89199649
20641,331002647,160309262,125016707
63131,331002647,71246219,65811340
29296,331002647,149068615,118181211
61844,331002647,74338025,68177850
51594,331002647,122669679,101463903
55399,331002647,63693721,60275003
65751,331002647,65995871,61719260
80567,331002647,92355733,80944104
13925,331002647,154119424,121125577
76573,331002647,90256586,79551820
52164,331002647,55393141,53647312
17984,331002647,146558344,117131627
63035,331002647,86041963,76791212
70121,331002647,107083884,90718986
74225,331002647,100891617,86221076
57808,331002647,56499018,54643195
53619,331002647,127133399,104613893
67796,331002647,67555076,62877755
60308,331002647,49708920,47733656
54600,331002647,123980028,102356935
40431,331002647,143680891,115127784
22334,331002647,139838655,112529278
11180,331002647,169612045,129191765
57801,331002647,97978125,84694388
28743,331002647,150342238,118904886
61405,331002647,59214724,56941640
44409,331002647,110461905,93002433
53594,331002647,94715143,82622178
59983,331002647,64679659,60913292
21034,331002647,153075845,120493252
42393,331002647,53708091,51951820
40961,331002647,120373717,100031926
72382,331002647,102877491,87539652
71388,331002647,69368232,64313721
9821,331002647,159412031,124520914
45186,331002647,54643581,52883263
60643,331002647,60849627,58294583
45192,331002647,135725061,110124671
28756,331002647,121674501,100830533
77231,331002647,99453295,85435687
14796,331002647,172556760,130359975
24462,331002647,156197160,122339269
62503,331002647,50960400,49169578
53809,331002647,47628226,45635740
35093,331002647,141636737,113582961
76069,331002647,88463874,78315776
25091,331002647,157783315,123479196
44787,331002647,134116885,109041458
61226,331002647,86855993,77285350
50396,331002647,129013657,105947940
67736,331002647,82986550,74713387
12677,331002647,158708623,124067556
41253,331002647,84810406,76038933
